date,game_pk,away_score,away_team,home_team,home_score,win_team,lose_team,win_score,lose_score
2026-03-25,823244,7,New York Yankees,San Francisco Giants,0,New York Yankees,San Francisco Giants,7,0
2026-03-26,823649,7,Pittsburgh Pirates,New York Mets,11,New York Mets,Pittsburgh Pirates,11,7
2026-03-26,823812,2,Chicago White Sox,Milwaukee Brewers,14,Milwaukee Brewers,Chicago White Sox,14,2
2026-03-26,824704,10,Washington Nationals,Chicago Cubs,4,Washington Nationals,Chicago Cubs,10,4
2026-03-26,824865,1,Minnesota Twins,Baltimore Orioles,2,Baltimore Orioles,Minnesota Twins,2,1
2026-03-26,824541,3,Boston Red Sox,Cincinnati Reds,0,Boston Red Sox,Cincinnati Reds,3,0
2026-03-26,824218,3,Los Angeles Angels,Houston Astros,0,Los Angeles Angels,Houston Astros,3,0
2026-03-26,823325,8,Detroit Tigers,San Diego Padres,2,Detroit Tigers,San Diego Padres,8,2
2026-03-26,823081,7,Tampa Bay Rays,St. Louis Cardinals,9,St. Louis Cardinals,Tampa Bay Rays,9,7
2026-03-26,823486,3,Texas Rangers,Philadelphia Phillies,5,Philadelphia Phillies,Texas Rangers,5,3
2026-03-26,823974,2,Arizona Diamondbacks,Los Angeles Dodgers,8,Los Angeles Dodgers,Arizona Diamondbacks,8,2
2026-03-26,823163,6,Cleveland Guardians,Seattle Mariners,4,Cleveland Guardians,Seattle Mariners,6,4
2026-03-27,823243,3,New York Yankees,San Francisco Giants,0,New York Yankees,San Francisco Giants,3,0
2026-03-27,822839,2,Athletics,Toronto Blue Jays,3,Toronto Blue Jays,Athletics,3,2
2026-03-27,823893,1,Colorado Rockies,Miami Marlins,2,Miami Marlins,Colorado Rockies,2,1
2026-03-27,824946,0,Kansas City Royals,Atlanta Braves,6,Atlanta Braves,Kansas City Royals,6,0
2026-03-27,824216,6,Los Angeles Angels,Houston Astros,2,Los Angeles Angels,Houston Astros,6,2
2026-03-27,823324,5,Detroit Tigers,San Diego Padres,2,Detroit Tigers,San Diego Padres,5,2
2026-03-27,823162,1,Cleveland Guardians,Seattle Mariners,5,Seattle Mariners,Cleveland Guardians,5,1
2026-03-27,823971,4,Arizona Diamondbacks,Los Angeles Dodgers,5,Los Angeles Dodgers,Arizona Diamondbacks,5,4
2026-03-28,823082,5,Tampa Bay Rays,St. Louis Cardinals,6,St. Louis Cardinals,Tampa Bay Rays,6,5
2026-03-28,824701,2,Washington Nationals,Chicago Cubs,10,Chicago Cubs,Washington Nationals,10,2
2026-03-28,822838,7,Athletics,Toronto Blue Jays,8,Toronto Blue Jays,Athletics,8,7
2026-03-28,824862,4,Minnesota Twins,Baltimore Orioles,1,Minnesota Twins,Baltimore Orioles,4,1
2026-03-28,823488,5,Texas Rangers,Philadelphia Phillies,4,Texas Rangers,Philadelphia Phillies,5,4
2026-03-28,824540,5,Boston Red Sox,Cincinnati Reds,6,Cincinnati Reds,Boston Red Sox,6,5
2026-03-28,823651,2,Pittsburgh Pirates,New York Mets,4,New York Mets,Pittsburgh Pirates,4,2
2026-03-28,823892,3,Colorado Rockies,Miami Marlins,4,Miami Marlins,Colorado Rockies,4,3
2026-03-28,824213,9,Los Angeles Angels,Houston Astros,11,Houston Astros,Los Angeles Angels,11,9
2026-03-28,823811,1,Chicago White Sox,Milwaukee Brewers,6,Milwaukee Brewers,Chicago White Sox,6,1
2026-03-28,824945,2,Kansas City Royals,Atlanta Braves,6,Atlanta Braves,Kansas City Royals,6,2
2026-03-28,823241,3,New York Yankees,San Francisco Giants,1,New York Yankees,San Francisco Giants,3,1
2026-03-28,823323,0,Detroit Tigers,San Diego Padres,3,San Diego Padres,Detroit Tigers,3,0
2026-03-28,823973,2,Arizona Diamondbacks,Los Angeles Dodgers,3,Los Angeles Dodgers,Arizona Diamondbacks,3,2
2026-03-28,823161,6,Cleveland Guardians,Seattle Mariners,5,Cleveland Guardians,Seattle Mariners,6,5
2026-03-29,824864,6,Minnesota Twins,Baltimore Orioles,8,Baltimore Orioles,Minnesota Twins,8,6
2026-03-29,823487,8,Texas Rangers,Philadelphia Phillies,3,Texas Rangers,Philadelphia Phillies,8,3
2026-03-29,824944,4,Kansas City Royals,Atlanta Braves,1,Kansas City Royals,Atlanta Braves,4,1
2026-03-29,822837,2,Athletics,Toronto Blue Jays,5,Toronto Blue Jays,Athletics,5,2
2026-03-29,824538,2,Boston Red Sox,Cincinnati Reds,3,Cincinnati Reds,Boston Red Sox,3,2
2026-03-29,823647,4,Pittsburgh Pirates,New York Mets,3,Pittsburgh Pirates,New York Mets,4,3
2026-03-29,823891,3,Colorado Rockies,Miami Marlins,4,Miami Marlins,Colorado Rockies,4,3
2026-03-29,824215,7,Los Angeles Angels,Houston Astros,9,Houston Astros,Los Angeles Angels,9,7
2026-03-29,823810,7,Chicago White Sox,Milwaukee Brewers,9,Milwaukee Brewers,Chicago White Sox,9,7
2026-03-29,823079,11,Tampa Bay Rays,St. Louis Cardinals,7,Tampa Bay Rays,St. Louis Cardinals,11,7
2026-03-29,824700,6,Washington Nationals,Chicago Cubs,3,Washington Nationals,Chicago Cubs,6,3
2026-03-29,823160,0,Cleveland Guardians,Seattle Mariners,8,Seattle Mariners,Cleveland Guardians,8,0
2026-03-30,824135,1,Minnesota Twins,Kansas City Royals,3,Kansas City Royals,Minnesota Twins,3,1
2026-03-30,824863,5,Texas Rangers,Baltimore Orioles,2,Texas Rangers,Baltimore Orioles,5,2
2026-03-30,824539,0,Pittsburgh Pirates,Cincinnati Reds,2,Cincinnati Reds,Pittsburgh Pirates,2,0
2026-03-30,823484,13,Washington Nationals,Philadelphia Phillies,2,Washington Nationals,Philadelphia Phillies,13,2
2026-03-30,823890,9,Chicago White Sox,Miami Marlins,4,Chicago White Sox,Miami Marlins,9,4
2026-03-30,822834,14,Colorado Rockies,Toronto Blue Jays,5,Colorado Rockies,Toronto Blue Jays,14,5
2026-03-30,824943,0,Athletics,Atlanta Braves,4,Atlanta Braves,Athletics,4,0
2026-03-30,824702,2,Los Angeles Angels,Chicago Cubs,7,Chicago Cubs,Los Angeles Angels,7,2
2026-03-30,823809,3,Tampa Bay Rays,Milwaukee Brewers,2,Tampa Bay Rays,Milwaukee Brewers,3,2
2026-03-30,823080,4,New York Mets,St. Louis Cardinals,2,New York Mets,St. Louis Cardinals,4,2
2026-03-30,824214,1,Boston Red Sox,Houston Astros,8,Houston Astros,Boston Red Sox,8,1
2026-03-30,823320,3,San Francisco Giants,San Diego Padres,2,San Francisco Giants,San Diego Padres,3,2
